3.08567758e+14  -4.32488381e+19 1.40159939e+05  
1.85140655e+18  -7.20813677e+15 3.89333473e-03  
3.70281310e+18  -3.60405833e+15 9.73339098e-04  
5.55421965e+18  -2.40268739e+15 4.32601689e-04  
7.40562619e+18  -1.80198903e+15 2.43345608e-04  
9.25703274e+18  -1.44155626e+15 1.55748741e-04  
1.11084393e+19  -1.20125342e+15 1.08166671e-04  
1.29598458e+19  -1.02959380e+15 7.94774117e-05  
1.48112524e+19  -9.00834052e+14 6.08580647e-05  
1.66626589e+19  -8.00672300e+14 4.80936741e-05  
1.85140655e+19  -7.20527432e+14 3.89642608e-05  
2.03654720e+19  -6.54938736e+14 3.22103315e-05  
2.22168786e+19  -6.00265739e+14 2.70741542e-05  
2.40682851e+19  -5.53988114e+14 2.30776857e-05  
2.59196917e+19  -5.14305626e+14 1.99072481e-05  
2.77710982e+19  -4.79898105e+14 1.73500974e-05  
2.96225048e+19  -4.49775424e+14 1.52578172e-05  
3.14739113e+19  -4.23180427e+14 1.35243148e-05  
3.33253179e+19  -3.99524212e+14 1.20721224e-05  
3.51767244e+19  -3.78341862e+14 1.08436057e-05  
3.70281310e+19  -3.59261442e+14 9.79516849e-06  
3.88795375e+19  -3.41981861e+14 8.89334068e-06  
4.07309441e+19  -3.26256773e+14 8.11208173e-06  
4.25823506e+19  -3.11882674e+14 7.43088600e-06  
4.44337572e+19  -2.98689981e+14 6.83342877e-06  
4.62851637e+19  -2.86536242e+14 6.30658350e-06  
4.81365703e+19  -2.75300922e+14 5.83969839e-06  
4.99879768e+19  -2.64881341e+14 5.42405694e-06  
5.18393834e+19  -2.55189492e+14 5.05247078e-06  
5.36907899e+19  -2.46149506e+14 4.71896916e-06  
5.55421965e+19  -2.37695628e+14 4.41855955e-06  
5.73936030e+19  -2.29770591e+14 4.14704145e-06  
5.92450095e+19  -2.22324285e+14 3.90086024e-06  
6.10964161e+19  -2.15312676e+14 3.67699159e-06  
6.29478226e+19  -2.08696908e+14 3.47284927e-06  
6.47992292e+19  -2.02442569e+14 3.28621113e-06  
6.66506357e+19  -1.96519071e+14 3.11515932e-06  
6.85020423e+19  -1.90899130e+14 2.95803159e-06  
7.03534488e+19  -1.85558338e+14 2.81338146e-06  
7.22048554e+19  -1.80474789e+14 2.67994553e-06  
